[0, -2147483648][DEBUG] 阳光: 9990, 慢, 184f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9540, 慢, 186f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 8840, 快*, 188f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9190, 白, 190f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9515, 白, 192f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9840, 快*, 194f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 196f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9690, 慢*, 198f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 灰烬={w20樱桃: 3}
总={变: 29, 快: 28, 慢: 16, 白: 27}, 预计 12:33 完成 10k flags (共 105 min)
[0, -2147483648][DEBUG] 出怪种子: 0xF686D996
[0, -2147483648][DEBUG] 阳光: 9290, 变, 200f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9615, 慢, 202f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9090, 白, 204f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9415, 白*, 206f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9740, 白*, 208f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 210f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 212f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 214f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 216f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 218f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 220f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9540, 白*, 222f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9890, 慢*, 224f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9490, 慢, 226f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9265, 变*, 228f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9565, 白*, 230f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9915, 白, 232f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 234f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 236f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 238f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 240f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9565, 慢, 242f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9140, 白*, 244f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9490, 白, 246f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9840, 慢, 248f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9140, 白, 250f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9465, 快, 252f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9790, 慢, 254f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9415, 快*, 256f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9740, 快, 258f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 260f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9690, 变, 262f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 264f, SL次数: 0 [10:50]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 266f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 268f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 270f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9440, 白, 272f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9765, 白, 274f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 276f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 278f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 280f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 282f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 284f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 286f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9415, 慢, 288f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9040, 白, 290f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9365, 白, 292f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9690, 快, 294f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 296f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 298f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 灰烬={w20樱桃: 4}
总={变: 38, 快: 37, 慢: 28, 白: 47}, 预计 12:33 完成 10k flags (共 105 min)
[0, -2147483648][DEBUG] 出怪种子: 0x4AA975B8
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 300f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 302f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 304f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 306f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9240, 慢*, 308f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 8840, 白*, 310f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9165, 快, 312f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9490, 白*, 314f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9815, 变, 316f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 318f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 320f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 322f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 324f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9690, 慢, 326f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9290, 快, 328f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9640, 慢*, 330f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9240, 快, 332f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9565, 快*, 334f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9915, 白*, 336f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9865, 快*, 338f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 340f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9690, 白, 342f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 344f, SL次数: 0 [10:51]
